observation_id,group_id,outcome,predictor_x,predictor_z,weight,measurement_batch
obs001,A,12.4,2.1,0.0,1.0,batch1
obs002,A,13.2,2.5,1.0,1.0,batch1
obs003,A,11.8,1.9,0.0,1.0,batch1
obs004,A,14.1,2.8,1.0,1.0,batch2
obs005,A,12.9,2.3,0.0,1.0,batch2
obs006,B,15.2,3.2,1.0,1.0,batch1
obs007,B,16.1,3.5,1.0,1.0,batch1
obs008,B,14.9,3.1,0.0,1.0,batch2
obs009,B,15.7,3.4,1.0,1.0,batch2
obs010,B,16.4,3.8,0.0,1.0,batch2
obs011,C,10.5,1.4,0.0,1.2,batch1
obs012,C,10.9,1.6,0.0,1.2,batch1
obs013,C,11.2,1.7,1.0,1.2,batch2
obs014,C,10.1,1.2,0.0,1.2,batch2
obs015,C,11.0,1.5,1.0,1.2,batch2
